date,home_team,wx_temp_f,wx_wind_mph,wx_precip_pct,roof,surface,neutral_site
2025-11-02,Cincinnati Bengals,,,,open,artificial,
2025-11-02,Detroit Lions,,,,fixed,artificial,
2025-11-02,Green Bay Packers,,,,open,grass,
2025-11-02,Houston Texans,,,,retractable,artificial,
2025-11-02,New England Patriots,,,,open,artificial,
2025-11-02,New York Giants,,,,open,artificial,
2025-11-02,Pittsburgh Steelers,,,,open,grass,
2025-11-02,Tennessee Titans,,,,open,grass,
2025-11-02,Los Angeles Rams,,,,fixed,artificial,
2025-11-02,Las Vegas Raiders,,,,fixed,grass,
2025-11-02,Buffalo Bills,,,,open,grass,
2025-11-02,Washington Commanders,,,,open,grass,
